Hour,Day,A1,A3,A5,A7,A9,Control,B2,B4,B6,B8,B10,C1,C3,C5,C7,C9,D2,D4,D6,D8,D10,E1,E3,E5,E7,E9,Control1_30cm,Control2_30cm
2,7/5/17,,,32.188,,,31.88,,,,,,,,,,,,,,,,,,,,,31.88,31.88
4,7/5/17,,,32.188,,,31.676,,,,,,,,,,,,,,,,,,,,,31.676,31.676
6,7/5/17,,,32.086,,,31.421,,,,,,,,,,,,,,,,,,,,,31.472,31.37
8,7/5/17,,,31.983,,,31.166,,,,,,,,,,,,,,,,,,,,,31.166,31.166
10,7/5/17,,,31.778,,,30.9125,,,,,,,,,,,,,,,,,,,,,30.963,30.862
12,7/5/17,,,31.676,,,30.7095,,,,,,,,,,,,,,,,,,,,,30.76,30.659
14,7/5/17,,,31.574,,,30.811,,,,,,,,,,,,,,,,,,,,,30.862,30.76
16,7/5/17,,,31.574,,,31.421,,,,,,,,,,,,,,,,,,,,,31.472,31.37
18,7/5/17,,,31.676,,,32.137,,,,,,,,,,,,,,,,,,,,,32.086,32.188
20,7/5/17,,,32.086,,,32.9625,,,,,,,,,,,,,,,,,,,,,32.911,33.014
22,7/5/17,,,32.394,,,33.066,,,,,,,,,,,,,,,,,,,,,33.014,33.118
24,7/5/17,,,32.6,,,32.7555,,,,,,,,,,,,,,,,,,,,,32.704,32.807
26,7/6/17,33.014,,32.6,32.704,32.807,32.394,31.472,,,,31.268,31.064,,,30.659,,,,,,,,,,,,32.394,32.394
28,7/6/17,32.911,,32.6,32.704,32.6,31.983,31.268,,,,31.268,31.166,,,30.76,,,,,,,,,,,,31.983,31.983
30,7/6/17,32.704,,32.394,32.497,32.291,31.574,30.963,,,,31.166,31.166,,,30.76,,,,,,,,,,,,31.574,31.574
32,7/6/17,32.394,,32.291,32.291,32.086,31.217,30.76,,,,31.064,31.166,,,30.76,,,,,,,,,,,,31.268,31.166
34,7/6/17,32.086,,31.983,32.086,31.778,30.811,30.457,,,,30.862,31.166,,,30.76,,,,,,,,,,,,30.862,30.76
36,7/6/17,31.88,,31.778,31.778,31.574,30.558,30.255,,,,30.76,31.166,,,30.76,,,,,,,,,,,,30.659,30.457
38,7/6/17,31.676,,31.574,31.574,31.472,30.659,30.154,,,,30.558,31.166,,,30.659,,,,,,,,,,,,30.76,30.558
40,7/6/17,31.676,,31.472,31.472,31.676,31.217,30.255,,,,30.558,31.064,,,30.659,,,,,,,,,,,,31.268,31.166
42,7/6/17,31.983,,31.676,31.574,32.086,32.086,30.558,,,,30.558,31.064,,,30.659,,,,,,,,,,,,32.086,32.086
44,7/6/17,32.394,,31.983,31.88,32.6,32.859,30.963,,,,30.76,31.064,,,30.659,,,,,,,,,,,,32.807,32.911
46,7/6/17,32.911,,32.291,32.394,33.014,33.378,31.37,,,,30.963,31.064,,,30.659,,,,,,,,,,,,33.326,33.43
48,7/6/17,33.326,,32.704,32.807,33.326,33.43,31.676,,,,31.268,31.064,,,30.659,,,,,,,,,,,,33.43,33.43
50,7/7/17,33.43,32.911,32.911,33.014,33.326,33.066,31.676,31.166,31.064,31.472,31.472,31.064,30.457,30.558,30.659,30.659,31.472,31.166,31.064,31.064,31.268,31.37,,,,,33.014,33.118
