Treatment,Nest,MeanTempTSP,Date,MinTempTSP,MaxTempTSP
A,A1,32.79941667,7/7/17,31.676,34.903
A,A1,32.43866667,7/8/17,31.676,34.903
A,A1,33.675,7/9/17,31.676,34.903
A,A1,34.4095,7/10/17,31.676,34.903
A,A1,33.18891667,7/11/17,31.676,34.903
A,A1,32.68758333,7/12/17,31.676,34.903
A,A1,32.77316667,7/13/17,31.676,34.903
A,A1,32.63591667,7/14/17,31.676,34.903
A,A1,33.08566667,7/15/17,31.676,34.903
A,A1,34.54983333,7/16/17,31.676,34.903
A,A1,33.9015,7/17/17,31.676,34.903
A,A1,32.6185,7/18/17,31.676,34.903
A,A1,32.81608333,7/19/17,31.676,34.903
A,A1,33.02341667,7/20/17,31.676,34.903
A,A1,33.43108333,7/21/17,31.676,34.903
A,A3,32.18066667,7/8/17,31.574,34.479
A,A3,33.21391667,7/9/17,31.574,34.479
A,A3,33.97941667,7/10/17,31.574,34.479
A,A3,32.98958333,7/11/17,31.574,34.479
A,A3,32.48941667,7/12/17,31.574,34.479
A,A3,32.4545,7/13/17,31.574,34.479
A,A3,32.3605,7/14/17,31.574,34.479
A,A3,32.71341667,7/15/17,31.574,34.479
A,A3,34.08441667,7/16/17,31.574,34.479
A,A3,33.64841667,7/17/17,31.574,34.479
A,A3,32.48941667,7/18/17,31.574,34.479
A,A3,32.63491667,7/19/17,31.574,34.479
A,A3,32.84183333,7/20/17,31.574,34.479
A,A3,33.1965,7/21/17,31.574,34.479
A,A3,33.43108333,7/22/17,31.574,34.479
A,A3,34.16325,7/23/17,31.574,34.479
A,A5,32.44625,7/7/17,31.472,34.374
A,A5,32.06075,7/8/17,31.472,34.374
A,A5,33.09283333,7/9/17,31.472,34.374
A,A5,33.89208333,7/10/17,31.472,34.374
A,A5,33.02391667,7/11/17,31.472,34.374
A,A5,32.50658333,7/12/17,31.472,34.374
A,A5,32.43733333,7/13/17,31.472,34.374
A,A5,32.40333333,7/14/17,31.472,34.374
