NEST A1,NEST A3,NEST A5,NEST A7,NEST A9,NEST B2,NEST B4,NEST B6,NEST B8,NEST B10,NEST C1,NEST C3,NEST C5,NEST C7,NEST C9,NEST D2,NEST D4,NEST D6,NEST D8,NEST D10,NEST E1,NEST E3,NEST E5,NEST E7,NEST E9
31.676,31.574,31.472,31.472,31.472,29.953,30.154,30.255,30.255,30.558,31.064,30.356,30.558,30.558,30.659,30.356,30.054,30.054,30.054,30.255,31.37,31.064,30.76,30.659,30.659
31.676,31.676,31.472,31.472,31.574,30.054,30.255,30.255,30.255,30.558,31.064,30.356,30.558,30.558,30.659,30.356,30.154,30.054,30.054,30.255,31.37,31.064,30.76,30.659,30.659
31.676,31.676,31.574,31.574,31.574,30.054,30.255,30.356,30.356,30.558,31.064,30.356,30.558,30.558,30.659,30.457,30.154,30.054,30.054,30.356,31.37,31.064,30.76,30.659,30.659
31.778,31.778,31.574,31.574,31.574,30.154,30.255,30.457,30.356,30.558,31.064,30.356,30.558,30.558,30.659,30.457,30.255,30.255,30.154,30.457,31.37,31.064,30.862,30.76,30.659
31.88,31.88,31.574,31.574,31.676,30.255,30.255,30.457,30.457,30.558,31.064,30.356,30.558,30.558,30.659,30.659,30.356,30.255,30.356,30.457,31.472,31.064,30.862,30.76,30.659
31.88,31.88,31.574,31.574,31.676,30.255,30.255,30.558,30.558,30.558,31.064,30.356,30.558,30.659,30.659,30.659,30.457,30.356,30.356,30.558,31.472,31.064,30.862,30.76,30.659
31.983,31.88,31.676,31.778,31.778,30.255,30.255,30.558,30.558,30.76,31.064,30.356,30.558,30.659,30.659,30.659,30.457,30.356,30.356,30.558,31.472,31.064,30.862,30.76,30.76
31.983,31.983,31.676,31.778,31.778,30.255,30.255,30.558,30.558,30.76,31.064,30.457,30.558,30.659,30.659,30.659,30.457,30.457,30.356,30.558,31.472,31.166,30.862,30.76,30.76
31.983,31.983,31.676,31.88,31.88,30.255,30.255,30.558,30.558,30.76,31.064,30.457,30.558,30.659,30.76,30.659,30.457,30.457,30.457,30.659,31.472,31.166,30.862,30.76,30.76
31.983,31.983,31.676,31.88,31.983,30.356,30.255,30.558,30.659,30.76,31.064,30.457,30.659,30.659,30.76,30.76,30.457,30.457,30.457,30.659,31.472,31.166,30.862,30.76,30.76
32.086,31.983,31.778,31.983,31.983,30.356,30.255,30.558,30.659,30.862,31.064,30.457,30.659,30.659,30.76,30.76,30.558,30.457,30.457,30.659,31.472,31.166,30.862,30.862,30.76
