Nest,TempCorr,Males,Females,MaleFreq,FemaleFreq,Cols
A1,33.222,0,10,0,1,#FF0000
A3,32.911,0,10,0,1,#FF0000
A5,32.911,0,11,0,1,#FF0000
A7,33.118,0,10,0,1,#FF0000
A9,33.118,0,10,0,1,#FF0000
B2,31.37,9,1,0.9,0.1,#1900E5
B4,31.166,6,4,0.6,0.4,#660099
B6,31.37,4,5,0.444444444,0.555555556,#8C0072
B8,31.472,3,7,0.3,0.7,#B2004C
B10,31.778,6,4,0.6,0.4,#660099
C1,31.778,3,7,0.3,0.7,#B2004C
C3,30.963,10,0,1,0,#0000FF
C5,31.166,10,0,1,0,#0000FF
C7,31.268,4,6,0.4,0.6,#990065
C9,31.472,3,7,0.3,0.7,#B2004C
D2,31.676,2,8,0.2,0.8,#CC0032
D4,31.268,3,7,0.3,0.7,#B2004C
D6,31.268,5,5,0.5,0.5,#7F007F
D8,31.268,9,1,0.9,0.1,#1900E5
D10,31.37,8,2,0.8,0.2,#3300CC
E1,32.291,1,8,0.111111111,0.888888889,#E50019
E3,31.88,2,9,0.181818182,0.818181818,#CC0032
E5,31.574,6,4,0.6,0.4,#660099
E7,31.472,7,4,0.636363636,0.363636364,#5900A5
E9,31.472,10,1,0.909090909,0.090909091,#1900E5
